index,q1,q2,q3,q4,response
0,란이 좋아하는 색깔은?,모리 란이 좋아하는 색깔은?,란과 신이치의 5월의 행운의 색은?,5월의 행운의 색은?,빨강색
1,란이 쿠도에게 선물한 티셔츠는?,란이 신이치에게 준 생일선물은?,쿠도 신이치의 생일에 모리 란이 선물한 것은?,신이치의 생일에 란이 선물한 것은?,빨간 폴로셔츠
2,쿠도 신이치의 생일은?,신이치의 생일은?,코난의 생일은?,에도가와 코난의 생일은?,5월 4일인데 나는 맨날 까먹어서 란이 알려주지.
3,베이카 시티 빌딩을 폭파시킨 사람은?,환상선의 선로 사이에 폭탄을 설치한 사람은?,일본 건축협회의 신인상을 받은 인물은?,"크로카와,미즈시마,야스다, 아크쓰 저택을 건설한 건축가는?",모리야 테이지
4,란이 끊은 코드의 색은?,란이 폭탄을 해제할 때 마지막으로 끊은 선의 색깔은?,모리 란의 폭탄 해제에 마지막 잘린 선의 색은?,란이 자른 선의 색은?,파란색이야. 란은 나와 붉은 실이 있다고 믿어서 자르고 싶지 않았다고 해.
5,코난이 모리야 테이지 저택의 파티에서 맞춘 퀴즈의 답은?,모리야 테이지가 저택의 파티에서 낸 퀴즈의 답변은?,모리야 테이지가 낸 수수께끼는?,3명에게 공통하는 단어로 히라가나 5문자인 것은?,모모타로야 모모타로. 내가 모리탐정님의 현실을 알려준 대목이기도 하지.
6,코난이 모모타로를 맞추자 초대된 장소는?,코난이 모리야 테이지의 범죄를 추리한 장소는?,모리야 테이지의 건축물들이 걸려있는 곳은?,란이 모리야 테이지에게 신이치를 만날 장소를 말한 곳은?,화랑에서 내가 멋지게 추리를 해냈지.
7,아유미가 집에서 본 하늘을 나는 인물은?,소노코가 좋아하는 도둑은?,아유미에게 자신을 마법사라고 소개한 사람은?,소노코가의 검은 진주를 노린 도둑은?,괴도 키드지. 그녀석이 끼어들면 사건이 영복잡해진다니까.
8,괴도 키드가 범죄를 예견할 때 사용하는 것은?,이것 없이는 키드가 나타나질 않는데 이것은 무엇인가?,키드의 수수께끼를 나타내는 종이의 이름은?,코난의 정체를 알고 있는 마술사의 이름은?,괴도 키드
9,키드가 노린 에그의 이름은?,두 개의 에그가 합쳐져야 제대로 보이는 에그의 이름은?,암호가 세기말의 마술사였던 에그의 이름은?,세기말의 마술사에 나온 보물은?,임페리얼 이스터 에그
